feature-1, feature-2, feature-3, class
119, 144, 129, 69, face
113, 141, 125, 52, face
116, 151, 138, 52, face
107, 132, 116, 63, face
100, 151, 119, 86, face
97, 144, 110, 57, face
103, 157, 125, 69, face
53, 192, 100, 57, face
50, 179, 97, 57, face
56, 179, 107, 57, face
75, 210, 125, 92, face
94, 147, 91, 69, face
94, 157, 103, 121, face
56, 192, 116, 98, face
47, 176, 103, 69, face
91, 147, 78, 110, face
110, 163, 78, 173, face
69, 141, 116, 81, face
47, 201, 129, 139, face
50, 201, 113, 150, face
110, 135, 97, 92, face
113, 147, 125, 127, face
113, 144, 100, 81, face
37, 217, 129, 144, face
31, 214, 116, 121, face
37, 214, 116, 104, face
100, 163, 85, 92, face
154, 100, 154, 86, face
154, 88, 135, 23, face
138, 119, 138, 46, face
154, 107, 141, 23, face
147, 113, 125, 34, face
138, 141, 125, 133, face
141, 132, 116, 86, face
147, 132, 122, 81, face
157, 113, 125, 115, face
113, 141, 88, 69, face
110, 154, 110, 75, face
110, 144, 110, 57, face
107, 147, 125, 34, face
107, 138, 147, 69, face
107, 144, 132, 40, face
100, 132, 122, 127, face
103, 135, 144, 133, face
88, 179, 110, 168, face
107, 176, 135, 197, face
107, 179, 116, 197, face
91, 166, 94, 139, face
100, 154, 125, 69, face
116, 173, 144, 144, face
88, 170, 113, 98, face
97, 182, 129, 144, face
138, 122, 62, 17, face
138, 100, 75, 28, face
141, 113, 78, 40, face
129, 116, 62, 11, face
144, 81, 56, 23, face
129, 81, 78, 57, face
144, 170, 173, 92, face
163, 170, 129, 23, face
147, 154, 141, 121, face
151, 163, 163, 34, face
135, 110, 125, 52, face
147, 116, 125, 28, face
116, 129, 141, 0, face
141, 154, 166, 5, face
113, 138, 166, 23, face
110, 97, 147, 23, face
116, 91, 144, 34, face
103, 100, 132, 34, face
116, 107, 113, 133, face
129, 113, 129, 133, face
132, 97, 122, 69, face
135, 81, 116, 86, face
119, 94, 122, 57, face
151, 91, 135, 63, face
141, 91, 122, 98, face
144, 94, 125, 81, face
129, 97, 116, 92, face
157, 91, 135, 92, face
75, 185, 154, 75, face
75, 188, 138, 46, face
75, 182, 144, 34, face
88, 185, 144, 69, face
91, 179, 138, 98, face
97, 173, 138, 81, face
129, 173, 192, 121, face
122, 157, 151, 98, face
107, 163, 188, 144, face
119, 170, 157, 133, face
81, 201, 141, 220, face
107, 188, 157, 133, face
135, 198, 185, 197, face
113, 201, 170, 144, face
116, 192, 170, 133, face
138, 182, 185, 185, face
116, 188, 166, 121, face
129, 182, 151, 144, face
125, 188, 176, 173, face
122, 176, 154, 92, face
122, 188, 147, 133, face
125, 192, 154, 185, face
113, 188, 166, 162, face
163, 170, 163, 86, face
160, 160, 195, 173, face
151, 157, 154, 150, face
154, 179, 170, 208, face
100, 147, 135, 133, face
119, 132, 132, 144, face
110, 138, 125, 86, face
122, 154, 138, 121, face
132, 141, 141, 144, face
135, 147, 97, 133, face
138, 160, 116, 168, face
138, 141, 110, 98, face
135, 135, 113, 104, face
129, 141, 125, 150, face
110, 182, 151, 214, face
97, 176, 160, 185, face
116, 198, 163, 162, face
129, 198, 151, 121, face
125, 188, 160, 156, face
125, 207, 154, 150, face
125, 182, 166, 115, face
157, 195, 185, 191, face
125, 170, 141, 156, face
122, 179, 170, 197, face
135, 160, 129, 98, face
129, 170, 135, 133, face
122, 173, 154, 162, face
179, 119, 144, 92, face
170, 107, 154, 75, face
166, 119, 157, 81, face
173, 125, 144, 110, face
170, 103, 125, 115, face
163, 110, 141, 81, face
47, 217, 138, 139, face
50, 220, 141, 139, face
53, 210, 129, 133, face
40, 220, 135, 98, face
34, 226, 129, 86, face
31, 220, 132, 86, face
53, 214, 129, 92, face
66, 195, 163, 57, face
75, 192, 151, 40, face
66, 198, 170, 98, face
50, 207, 154, 69, face
100, 166, 157, 75, face
100, 157, 157, 81, face
81, 170, 157, 98, face
78, 185, 160, 98, face
59, 192, 138, 63, face
40, 195, 138, 92, face
72, 195, 129, 110, face
69, 192, 116, 127, face
72, 195, 170, 57, face
78, 198, 179, 46, face
59, 192, 154, 63, face
91, 160, 176, 69, face
72, 166, 163, 81, face
94, 192, 195, 63, face
91, 201, 195, 40, face
100, 179, 195, 40, face
94, 201, 182, 98, face
88, 192, 166, 52, face
97, 185, 173, 75, face
53, 210, 122, 139, face
56, 214, 129, 104, face
59, 210, 113, 144, face
72, 198, 125, 139, face
72, 204, 100, 162, face
25, 223, 141, 115, face
31, 223, 147, 150, face
31, 223, 147, 121, face
25, 226, 135, 144, face
28, 226, 138, 133, face
25, 217, 129, 150, face
44, 220, 141, 86, face
44, 207, 138, 86, face
44, 217, 138, 86, face
56, 188, 141, 81, face
50, 192, 132, 86, face
47, 201, 132, 69, face
56, 210, 141, 81, face
53, 201, 129, 75, face
62, 204, 141, 110, face
66, 198, 116, 110, face
37, 223, 132, 98, face
31, 214, 125, 104, face
44, 170, 119, 104, face
44, 179, 125, 81, face
56, 185, 147, 115, face
47, 192, 138, 110, face
37, 214, 138, 133, face
66, 201, 154, 168, face
59, 226, 154, 127, face
59, 232, 157, 144, face
110, 198, 154, 92, face
97, 204, 176, 92, face
91, 201, 160, 75, face
81, 185, 160, 40, face
94, 185, 166, 75, face
88, 204, 163, 69, face
85, 185, 135, 104, face
103, 176, 154, 150, face
103, 188, 160, 115, face
100, 185, 157, 150, face
85, 182, 157, 121, face
91, 173, 160, 98, face
85, 141, 122, 81, face
103, 132, 132, 121, face
91, 132, 116, 104, face
88, 141, 122, 92, face
107, 132, 122, 150, face
125, 129, 116, 185, face
91, 138, 129, 133, face
103, 144, 116, 139, face
110, 135, 113, 156, face
97, 132, 144, 69, face
107, 129, 125, 86, face
94, 214, 204, 139, face
75, 226, 204, 179, face
94, 195, 204, 75, face
91, 188, 217, 86, face
91, 198, 210, 104, face
94, 188, 176, 139, face
88, 182, 160, 150, face
103, 195, 173, 168, face
107, 179, 204, 162, face
97, 182, 210, 162, face
110, 179, 179, 185, face
113, 188, 170, 168, face
113, 198, 192, 197, face
110, 182, 173, 98, face
125, 176, 176, 127, face
116, 179, 192, 179, face
129, 179, 192, 173, face
53, 207, 163, 115, face
44, 210, 166, 144, face
53, 223, 163, 179, face
56, 214, 151, 133, face
56, 217, 141, 156, face
50, 220, 154, 191, face
47, 214, 157, 168, face
75, 198, 132, 144, face
88, 198, 122, 156, face
85, 201, 154, 162, face
100, 160, 113, 179, face
103, 166, 103, 208, face
85, 129, 116, 52, face
78, 135, 119, 40, face
78, 119, 113, 46, face
72, 141, 129, 40, face
97, 141, 125, 46, face
81, 151, 122, 46, face
88, 160, 129, 46, face
72, 154, 135, 40, face
94, 188, 160, 34, face
103, 160, 132, 92, face
91, 144, 125, 86, face
78, 170, 163, 40, face
97, 179, 154, 191, face
100, 138, 163, 162, face
97, 141, 157, 156, face
110, 125, 147, 173, face
88, 185, 166, 144, face
85, 192, 144, 202, face
88, 176, 144, 179, face
125, 144, 188, 202, face
138, 138, 195, 226, face
138, 100, 163, 121, face
147, 110, 182, 139, face
188, 62, 144, 156, face
201, 62, 144, 127, face
185, 56, 138, 150, face
201, 72, 138, 81, face
185, 81, 151, 139, face
192, 75, 144, 144, face
185, 85, 151, 144, face
217, 47, 147, 81, face
210, 34, 147, 98, face
217, 75, 125, 139, face
217, 66, 129, 139, face
160, 119, 154, 162, face
163, 132, 163, 202, face
135, 141, 163, 168, face
154, 144, 179, 231, face
157, 141, 192, 185, face
160, 125, 176, 144, face
173, 91, 141, 75, face
157, 72, 129, 104, face
147, 78, 132, 69, face
163, 69, 129, 46, face
151, 56, 132, 63, face
122, 91, 144, 92, face
125, 78, 138, 81, face
107, 81, 141, 52, face
78, 100, 100, 168, face
81, 72, 91, 115, face
75, 78, 88, 139, face
97, 53, 113, 115, face
185, 94, 176, 81, face
207, 85, 176, 121, face
204, 85, 173, 104, face
192, 81, 160, 139, face
201, 81, 144, 144, face
163, 88, 147, 139, face
166, 75, 141, 179, face
163, 69, 151, 168, face
173, 75, 147, 168, face
176, 75, 147, 185, face
214, 81, 138, 104, face
214, 69, 135, 121, face
223, 62, 141, 86, face
210, 66, 125, 81, face
201, 62, 141, 156, face
132, 75, 141, 69, face
138, 75, 141, 81, face
135, 53, 125, 104, face
160, 72, 135, 115, face
151, 53, 129, 133, face
151, 62, 129, 121, face
160, 53, 138, 150, face
166, 75, 147, 63, face
122, 97, 201, 11, face
91, 91, 182, 17, face
107, 78, 141, 86, face
116, 72, 141, 75, face
129, 69, 144, 133, face
144, 72, 132, 133, face
122, 81, 135, 86, face
116, 69, 129, 144, face
116, 69, 129, 144, face
173, 53, 116, 173, face
132, 72, 110, 127, face
129, 88, 78, 191, face
125, 88, 72, 197, face
141, 72, 81, 185, face
110, 141, 154, 139, face
116, 141, 151, 185, face
122, 141, 157, 191, face
110, 154, 173, 150, face
113, 151, 170, 162, face
141, 107, 185, 81, face
154, 91, 179, 86, face
144, 107, 119, 150, face
151, 113, 129, 127, face
147, 129, 129, 121, face
144, 113, 122, 162, face
170, 119, 135, 121, face
166, 116, 125, 121, face
141, 176, 176, 197, face
135, 160, 185, 197, face
170, 116, 160, 173, face
157, 125, 163, 214, face
166, 81, 119, 156, face
160, 75, 116, 156, face
147, 100, 138, 162, face
122, 69, 94, 139, face
166, 78, 166, 98, face
163, 66, 154, 127, face
170, 62, 151, 121, face
154, 78, 154, 75, face
132, 72, 116, 104, face
132, 69, 113, 98, face
91, 192, 166, 92, face
85, 214, 179, 144, face
91, 176, 122, 173, face
88, 173, 122, 197, face
151, 81, 151, 139, face
166, 75, 157, 139, face
157, 94, 151, 168, face
154, 81, 154, 185, face
166, 85, 144, 208, face
163, 91, 144, 179, face
147, 94, 173, 98, face
157, 72, 170, 127, face
147, 103, 176, 104, face
151, 85, 166, 156, face
154, 72, 151, 139, face
135, 75, 173, 121, face
125, 81, 163, 110, face
129, 69, 170, 144, face
147, 75, 160, 191, face
207, 50, 113, 92, face
217, 44, 110, 92, face
207, 50, 113, 81, face
204, 59, 113, 110, face
214, 53, 107, 92, face
210, 47, 110, 104, face
163, 66, 122, 127, face
166, 75, 151, 104, face
166, 69, 176, 115, face
166, 66, 173, 150, face
151, 94, 170, 156, face
163, 88, 166, 156, face
179, 59, 163, 139, face
166, 75, 170, 139, face
188, 66, 154, 150, face
154, 97, 173, 104, face
173, 88, 176, 133, face
163, 100, 166, 162, face
166, 81, 170, 150, face
160, 91, 170, 144, face
176, 103, 188, 115, face
192, 91, 157, 57, face
179, 78, 166, 104, face
185, 81, 179, 121, face
179, 75, 141, 98, face
179, 69, 144, 156, face
176, 88, 151, 104, face
170, 72, 147, 98, face
188, 53, 141, 110, face
151, 125, 138, 133, face
62, 192, 132, 139, face
62, 204, 129, 162, face
81, 182, 129, 156, face
78, 182, 116, 168, face
78, 192, 113, 191, face
107, 154, 132, 98, face
88, 154, 125, 92, face
122, 151, 154, 81, face
91, 154, 157, 28, face
107, 144, 151, 46, face
69, 182, 135, 156, face
75, 188, 129, 197, face
75, 195, 132, 144, face
69, 198, 132, 144, face
56, 201, 129, 104, face
69, 207, 138, 162, face
103, 166, 116, 110, face
110, 166, 116, 69, face
107, 151, 119, 98, face
110, 141, 119, 86, face
119, 147, 132, 81, face
97, 198, 179, 69, face
91, 201, 198, 92, face
107, 201, 170, 104, face
69, 217, 179, 127, face
138, 144, 192, 133, face
125, 157, 198, 139, face
94, 188, 163, 46, face
97, 179, 182, 86, face
135, 147, 207, 127, face
188, 119, 154, 144, face
144, 157, 210, 156, face
94, 173, 151, 92, face
94, 198, 170, 92, face
100, 179, 160, 81, face
100, 185, 147, 92, face
56, 138, 75, 127, face
75, 151, 100, 52, face
81, 147, 88, 115, face
31, 220, 157, 173, face
34, 242, 151, 197, face
53, 220, 141, 156, face
50, 223, 141, 139, face
50, 226, 144, 162, face
62, 214, 135, 133, face
69, 217, 135, 139, face
85, 173, 144, 144, face
100, 179, 151, 168, face
97, 179, 157, 133, face
85, 214, 163, 144, face
88, 220, 170, 202, face
94, 163, 170, 57, face
94, 173, 163, 23, face
110, 173, 170, 40, face
88, 157, 157, 40, face
18, 185, 135, 98, face
28, 192, 141, 86, face
28, 201, 138, 104, face
25, 192, 125, 110, face
25, 204, 122, 92, face
31, 201, 122, 121, face
135, 81, 195, 28, face
138, 85, 185, 23, face
144, 66, 185, 11, face
135, 69, 185, 0, face
147, 72, 192, 5, face
144, 69, 188, 28, face
91, 144, 122, 121, face
81, 157, 141, 104, face
81, 166, 138, 139, face
75, 182, 147, 92, face
66, 198, 176, 98, face
81, 176, 154, 46, face
75, 176, 154, 63, face
100, 163, 125, 121, face
91, 151, 122, 115, face
97, 185, 151, 75, face
110, 185, 151, 81, face
85, 166, 138, 98, face
100, 173, 144, 104, face
94, 173, 141, 110, face
88, 163, 157, 46, face
66, 160, 160, 57, face
81, 157, 160, 57, face
81, 154, 138, 63, face
88, 160, 144, 63, face
85, 141, 141, 57, face
97, 132, 138, 81, face
103, 147, 135, 156, face
97, 166, 144, 144, face
113, 170, 116, 63, face
110, 176, 119, 81, face
119, 160, 107, 127, face
116, 157, 103, 121, face
116, 154, 116, 98, face
107, 151, 103, 110, face
119, 154, 103, 104, face
119, 160, 103, 110, face
125, 166, 94, 133, face
110, 147, 151, 150, face
81, 135, 129, 115, face
78, 154, 170, 17, face
110, 170, 179, 63, face
107, 188, 179, 121, face
88, 163, 144, 104, face
113, 163, 182, 144, face
103, 138, 154, 150, face
75, 185, 160, 115, face
91, 179, 163, 63, face
116, 157, 147, 92, face
100, 154, 147, 81, face
100, 166, 160, 110, face
110, 173, 157, 115, face
147, 88, 141, 92, face
157, 81, 147, 86, face
113, 179, 210, 69, face
125, 147, 173, 104, face
97, 179, 176, 69, face
91, 192, 179, 75, face
107, 226, 185, 98, face
113, 220, 188, 104, face
103, 229, 192, 110, face
119, 138, 176, 46, face
119, 135, 179, 52, face
116, 157, 179, 63, face
110, 163, 182, 69, face
113, 154, 179, 57, face
116, 163, 170, 110, face
119, 170, 173, 75, face
116, 113, 113, 52, face
125, 107, 113, 46, face
122, 107, 110, 46, face
119, 116, 113, 69, face
125, 116, 113, 57, face
116, 116, 119, 63, face
94, 157, 185, 127, face
94, 179, 192, 144, face
91, 179, 192, 127, face
135, 78, 173, 0, face
129, 91, 160, 57, face
122, 88, 157, 46, face
125, 94, 163, 46, face
107, 204, 163, 115, face
97, 207, 170, 104, face
97, 214, 173, 127, face
147, 107, 154, 23, face
141, 107, 166, 17, face
132, 119, 160, 17, face
75, 179, 97, 104, face
135, 72, 176, 0, face
75, 185, 100, 115, face
62, 185, 97, 121, face
129, 100, 138, 63, face
135, 110, 138, 63, face
116, 119, 138, 63, face
170, 62, 144, 63, face
170, 66, 147, 63, face
157, 81, 157, 63, face
91, 210, 141, 168, face
97, 214, 154, 144, face
135, 85, 176, 0, face
97, 223, 157, 150, face
144, 107, 160, 57, face
147, 107, 151, 57, face
28, 220, 125, 92, face
37, 226, 129, 86, face
22, 236, 125, 104, face
116, 207, 223, 173, face
119, 220, 226, 191, face
116, 220, 223, 168, face
151, 204, 217, 197, face
141, 226, 226, 197, face
119, 182, 220, 81, face
144, 62, 141, 23, face
141, 220, 220, 185, face
69, 220, 116, 121, face
66, 214, 110, 115, face
66, 220, 113, 121, face
75, 210, 113, 115, face
78, 217, 113, 121, face
69, 220, 113, 121, face
116, 94, 103, 0, face
116, 94, 110, 0, face
113, 107, 100, 0, face
151, 107, 147, 40, face
138, 72, 157, 0, face
144, 72, 160, 0, face
132, 78, 151, 0, face
154, 116, 151, 127, face
154, 113, 157, 127, face
151, 116, 157, 127, face
119, 188, 210, 92, face
116, 195, 223, 75, face
116, 201, 220, 92, face
182, 103, 182, 127, face
154, 116, 157, 57, face
179, 110, 185, 133, face
170, 100, 179, 98, face
113, 220, 160, 237, face
110, 232, 166, 249, face
107, 232, 157, 237, face
157, 119, 170, 34, face
135, 125, 179, 46, face
122, 132, 179, 40, face
160, 113, 147, 23, face
151, 107, 154, 23, face
154, 116, 157, 40, face
147, 116, 160, 23, face
166, 81, 163, 34, face
166, 78, 166, 17, face
163, 81, 163, 17, face
173, 85, 151, 34, face
182, 75, 154, 17, face
173, 85, 157, 17, face
141, 91, 144, 0, face
144, 88, 154, 0, face
138, 100, 147, 0, face
173, 100, 160, 52, face
110, 135, 157, 115, face
94, 138, 157, 115, face
103, 132, 170, 104, face
97, 44, 94, 75, face
113, 47, 91, 52, face
91, 40, 97, 75, face
170, 40, 100, 75, face
157, 116, 141, 127, face
157, 119, 135, 121, face
157, 119, 141, 127, face
122, 166, 166, 75, face
119, 170, 176, 86, face
110, 170, 170, 81, face
185, 103, 179, 98, face
192, 47, 157, 81, face
166, 107, 176, 104, face
170, 113, 173, 86, face
141, 119, 135, 92, face
147, 116, 132, 92, face
135, 122, 138, 75, face
135, 122, 147, 98, face
141, 113, 151, 98, face
125, 125, 141, 81, face
147, 75, 113, 92, face
141, 75, 116, 98, face
182, 53, 144, 81, face
138, 75, 119, 86, face
132, 81, 110, 150, face
141, 85, 116, 150, face
125, 81, 110, 144, face
69, 210, 135, 115, face
66, 214, 135, 121, face
66, 217, 132, 127, face
59, 214, 129, 121, face
69, 214, 132, 115, face
62, 226, 132, 127, face
163, 110, 154, 115, face
151, 78, 157, 11, face
141, 69, 154, 5, face
151, 91, 166, 11, face
176, 72, 141, 17, face
173, 69, 144, 17, face
173, 78, 138, 11, face
141, 179, 192, 139, face
151, 195, 195, 133, face
160, 198, 198, 139, face
103, 44, 113, 0, face
163, 119, 163, 121, face
97, 40, 113, 5, face
94, 59, 116, 0, face
94, 135, 116, 46, face
91, 125, 125, 34, face
88, 138, 116, 63, face
163, 138, 157, 115, face
160, 141, 154, 121, face
163, 144, 157, 127, face
75, 56, 100, 5, face
97, 72, 110, 11, face
166, 113, 160, 104, face
75, 62, 107, 0, face
135, 85, 132, 40, face
125, 75, 129, 34, face
135, 81, 132, 28, face
147, 88, 132, 57, face
144, 91, 132, 34, face
132, 94, 141, 40, face
37, 223, 138, 86, face
47, 229, 144, 92, face
34, 239, 141, 115, face
151, 116, 144, 133, face
182, 88, 157, 0, face
179, 85, 157, 0, face
173, 100, 160, 0, face
135, 129, 138, 156, face
154, 135, 144, 150, face
144, 132, 141, 150, face
78, 176, 125, 121, face
88, 173, 135, 121, face
81, 179, 132, 121, face
160, 59, 119, 57, face
154, 110, 154, 127, face
166, 53, 119, 57, face
176, 62, 119, 46, face
160, 94, 176, 144, face
157, 91, 179, 139, face
160, 97, 179, 133, face
116, 56, 122, 63, face
122, 53, 119, 63, face
113, 66, 132, 63, face
129, 113, 144, 81, face
125, 119, 147, 92, face
144, 116, 151, 144, face
125, 116, 141, 75, face
88, 204, 176, 162, face
94, 207, 185, 144, face
85, 207, 182, 144, face
103, 188, 170, 173, face
103, 192, 170, 168, face
97, 195, 176, 179, face
110, 176, 154, 104, face
129, 179, 176, 98, face
125, 182, 166, 110, face
100, 170, 179, 173, face
151, 78, 135, 69, face
151, 78, 141, 63, face
147, 85, 141, 69, face
157, 81, 138, 75, face
154, 78, 135, 69, face
154, 81, 141, 69, face
151, 75, 151, 40, face
154, 81, 154, 40, face
151, 85, 154, 46, face
122, 135, 179, 86, face
154, 116, 195, 34, face
113, 170, 185, 168, face
132, 141, 179, 98, face
129, 141, 176, 81, face
100, 157, 170, 52, face
100, 166, 176, 52, face
107, 176, 179, 57, face
119, 185, 214, 115, face
113, 195, 214, 127, face
119, 198, 220, 104, face
50, 198, 107, 92, face
50, 198, 119, 86, face
97, 173, 182, 179, face
47, 204, 107, 110, face
132, 207, 188, 191, face
125, 207, 192, 185, face
129, 220, 201, 197, face
119, 100, 116, 98, face
116, 103, 116, 98, face
97, 110, 116, 92, face
72, 173, 176, 92, face
69, 173, 173, 98, face
75, 179, 170, 92, face
119, 173, 179, 191, face
176, 91, 160, 5, face
166, 94, 170, 0, face
170, 103, 170, 5, face
198, 75, 163, 0, face
198, 72, 163, 0, face
129, 110, 107, 121, face
